symbol,scenario,param,level,fill_gate,slippage_bps,spread_cross_fraction,option_commission_per_contract,option_fee_per_contract,min_edge_to_cost_ratio,volume_participation_rate,backtest_version,generated_at_utc,total_pnl,daily_sharpe,trades,total_fees,total_options_pnl,total_options_pnl_gross,total_hedge_pnl,final_equity,baseline_total_pnl,baseline_daily_sharpe,baseline_trades,delta_total_pnl,delta_daily_sharpe,delta_trades
AAPL,option_fee_per_contract=0.1,option_fee_per_contract,high,0.45,10.0,0.75,0.65,0.1,1.75,0.02,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:16:13.049292Z,3188.545186101057,1.5087611677067594,815.0,2401.984751522541,2798.4048755007702,5200.389627023311,390.1403106002869,13188.545186101059,3348.6775028692264,1.5795162972081385,815.0,-160.1323167681694,-0.07075512950137908,0.0
AAPL,min_edge_to_cost_ratio=1.25,min_edge_to_cost_ratio,low,0.45,10.0,0.75,0.65,0.05,1.25,0.02,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:16:15.101259Z,3557.947482678205,1.66787333127386,815.0,2241.8637063741685,3244.9311190765134,5486.794825450681,313.016363601691,13557.947482678204,3348.6775028692264,1.5795162972081385,815.0,209.2699798089784,0.0883570340657216,0.0
AAPL,min_edge_to_cost_ratio=2.25,min_edge_to_cost_ratio,high,0.45,10.0,0.75,0.65,0.05,2.25,0.02,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:16:17.201396Z,3252.632438035367,1.5296408995420878,816.0,2244.5973922729495,3073.24751323525,5317.8449055082,179.38492480011604,13252.632438035365,3348.6775028692264,1.5795162972081385,815.0,-96.04506483385921,-0.04987539766605065,1.0
AAPL,volume_participation_rate=0.01,volume_participation_rate,low,0.45,10.0,0.75,0.65,0.05,1.75,0.01,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:16:19.192360Z,3348.6775028692264,1.5795162972081385,815.0,2241.8524347543716,2958.537192268939,5200.389627023311,390.1403106002869,13348.677502869226,3348.6775028692264,1.5795162972081385,815.0,0.0,0.0,0.0
AAPL,volume_participation_rate=0.05,volume_participation_rate,high,0.45,10.0,0.75,0.65,0.05,1.75,0.05,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:16:21.194962Z,3348.6775028692264,1.5795162972081385,815.0,2241.8524347543716,2958.537192268939,5200.389627023311,390.1403106002869,13348.677502869226,3348.6775028692264,1.5795162972081385,815.0,0.0,0.0,0.0
MSFT,baseline,baseline,base,0.45,10.0,0.75,0.65,0.05,1.75,0.02,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:16:23.108908Z,-7729.8351132164435,-1.0633750280494498,846.0,2328.5857955455785,-10899.209275481495,-8570.623479935915,3169.3741622650514,2270.164886783561,-7729.8351132164435,-1.0633750280494498,846.0,0.0,0.0,0.0
MSFT,fill_gate=0.3,fill_gate,low,0.3,10.0,0.75,0.65,0.05,1.75,0.02,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:16:25.032557Z,-7729.8351132164435,-1.0633750280494498,846.0,2328.5857955455785,-10899.209275481495,-8570.623479935915,3169.3741622650514,2270.164886783561,-7729.8351132164435,-1.0633750280494498,846.0,0.0,0.0,0.0
MSFT,fill_gate=0.6,fill_gate,high,0.6,10.0,0.75,0.65,0.05,1.75,0.02,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:16:27.001123Z,-7729.8351132164435,-1.0633750280494498,846.0,2328.5857955455785,-10899.209275481495,-8570.623479935915,3169.3741622650514,2270.164886783561,-7729.8351132164435,-1.0633750280494498,846.0,0.0,0.0,0.0
MSFT,slippage_bps=5.0,slippage_bps,low,0.45,5.0,0.75,0.65,0.05,1.75,0.02,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:16:28.932184Z,-5855.755706407283,-1.1740705763536468,843.0,2320.3180365562444,-8881.701688975678,-6561.383652419434,3025.945982568398,4144.24429359272,-7729.8351132164435,-1.0633750280494498,846.0,1874.079406809161,-0.11069554830419692,-3.0
MSFT,slippage_bps=15.0,slippage_bps,high,0.45,15.0,0.75,0.65,0.05,1.75,0.02,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:16:30.886418Z,-7829.408219458619,-1.01887446517908,840.0,2312.1068399429323,-10821.898284888346,-8509.791444945413,2992.4900654297267,2170.5917805413847,-7729.8351132164435,-1.0633750280494498,846.0,-99.57310624217553,0.04450056287036985,-6.0
MSFT,spread_cross_fraction=0.55,spread_cross_fraction,low,0.45,10.0,0.55,0.65,0.05,1.75,0.02,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:16:32.864791Z,2331.454121180887,0.7903116887453279,846.0,2328.5815621376037,516.238779545718,2844.82034168332,1815.2153416351705,12331.454121180886,-7729.8351132164435,-1.0633750280494498,846.0,10061.28923439733,1.8536867167947777,0.0
MSFT,spread_cross_fraction=0.95,spread_cross_fraction,high,0.45,10.0,0.95,0.65,0.05,1.75,0.02,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:16:34.797177Z,-12164.54919264612,-0.7287906517166695,842.0,2317.669629645348,-14730.352090378707,-12412.682460733356,2565.802897732583,-2164.549192646131,-7729.8351132164435,-1.0633750280494498,846.0,-4434.7140794296765,0.3345843763327804,-4.0
MSFT,option_commission_per_contract=0.35,option_commission_per_contract,low,0.45,10.0,0.75,0.35,0.05,1.75,0.02,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:16:36.696972Z,-5908.667611323864,-1.1796078432752461,846.0,1330.6176223754883,-8961.851793983813,-7631.234171608324,3053.184182659949,4091.3323886761373,-7729.8351132164435,-1.0633750280494498,846.0,1821.1675018925798,-0.11623281522579632,0.0
MSFT,option_commission_per_contract=0.95,option_commission_per_contract,high,0.45,10.0,0.75,0.95,0.05,1.75,0.02,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:16:38.640646Z,-8597.44935997833,-0.4086266687968248,846.0,3326.549648284912,-11655.608637373996,-8329.058989089082,3058.1592773956654,1402.5506400216655,-7729.8351132164435,-1.0633750280494498,846.0,-867.6142467618874,0.6547483592526251,0.0
MSFT,option_fee_per_contract=0.01,option_fee_per_contract,low,0.45,10.0,0.75,0.65,0.01,1.75,0.02,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:16:40.548282Z,-7596.773067756697,-1.1026620222684134,846.0,2195.5237500858307,-10766.147230021747,-8570.623479935915,3169.3741622650514,2403.2269322432994,-7729.8351132164435,-1.0633750280494498,846.0,133.0620454597465,-0.039286994218963533,0.0
MSFT,option_fee_per_contract=0.1,option_fee_per_contract,high,0.45,10.0,0.75,0.65,0.1,1.75,0.02,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:16:42.472093Z,-7896.162670041129,-0.9996418963194115,846.0,2494.913352370262,-11065.536832306178,-8570.623479935915,3169.3741622650514,2103.8373299588693,-7729.8351132164435,-1.0633750280494498,846.0,-166.32755682468542,0.06373313173003836,0.0
MSFT,min_edge_to_cost_ratio=1.25,min_edge_to_cost_ratio,low,0.45,10.0,0.75,0.65,0.05,1.25,0.02,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:16:44.365339Z,-7594.502709712202,-1.0721005593368036,848.0,2334.0677960157395,-10418.11646474764,-8084.048668731899,2823.613755035436,2405.4972902878035,-7729.8351132164435,-1.0633750280494498,846.0,135.33240350424148,-0.00872553128735376,2.0
MSFT,min_edge_to_cost_ratio=2.25,min_edge_to_cost_ratio,high,0.45,10.0,0.75,0.65,0.05,2.25,0.02,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:16:46.301939Z,-6623.261722945877,-1.2233956782555364,845.0,2325.8533797025684,-9900.0573371549,-7574.203957452332,3276.795614209023,3376.7382770541244,-7729.8351132164435,-1.0633750280494498,846.0,1106.573390270566,-0.16002065020608658,-1.0
MSFT,volume_participation_rate=0.01,volume_participation_rate,low,0.45,10.0,0.75,0.65,0.05,1.75,0.01,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:16:48.223211Z,-7729.8351132164435,-1.0633750280494498,846.0,2328.5857955455785,-10899.209275481495,-8570.623479935915,3169.3741622650514,2270.164886783561,-7729.8351132164435,-1.0633750280494498,846.0,0.0,0.0,0.0
MSFT,volume_participation_rate=0.05,volume_participation_rate,high,0.45,10.0,0.75,0.65,0.05,1.75,0.05,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:16:50.170387Z,-7729.8351132164435,-1.0633750280494498,846.0,2328.5857955455785,-10899.209275481495,-8570.623479935915,3169.3741622650514,2270.164886783561,-7729.8351132164435,-1.0633750280494498,846.0,0.0,0.0,0.0
QQQ,baseline,baseline,base,0.45,10.0,0.75,0.65,0.05,1.75,0.02,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:16:51.983615Z,12531.942517682659,2.9721746807457947,413.0,1137.8181905269623,11567.152598383314,12704.970788910277,964.789919299343,22531.942517682655,12531.942517682659,2.9721746807457947,413.0,0.0,0.0,0.0
QQQ,fill_gate=0.3,fill_gate,low,0.3,10.0,0.75,0.65,0.05,1.75,0.02,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:16:53.900618Z,12644.747371891652,2.9961626047880783,415.0,1143.3269567966463,11668.01129731887,12811.338254115517,976.7360745727808,22644.74737189165,12531.942517682659,2.9721746807457947,413.0,112.80485420899277,0.02398792404228356,2.0
QQQ,fill_gate=0.6,fill_gate,high,0.6,10.0,0.75,0.65,0.05,1.75,0.02,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:16:55.883467Z,12329.771638107053,2.944675671038781,413.0,1137.8153134584427,11364.98171880771,12502.797032266153,964.789919299343,22329.77163810705,12531.942517682659,2.9721746807457947,413.0,-202.1708795756058,-0.027499009707013577,0.0
QQQ,slippage_bps=5.0,slippage_bps,low,0.45,5.0,0.75,0.65,0.05,1.75,0.02,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:16:57.776659Z,11781.673419464372,2.7554231046686386,412.0,1135.07013463974,10253.858657513658,11388.928792153394,1527.814761950718,21781.673419464372,12531.942517682659,2.9721746807457947,413.0,-750.2690982182867,-0.21675157607715612,-1.0
QQQ,slippage_bps=15.0,slippage_bps,high,0.45,15.0,0.75,0.65,0.05,1.75,0.02,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:16:59.583894Z,11558.191438334901,2.7684854469282327,414.0,1140.1500478029252,10798.053019804604,11938.203067607526,760.1384185302975,21558.191438334907,12531.942517682659,2.9721746807457947,413.0,-973.7510793477577,-0.203689233817562,1.0
QQQ,spread_cross_fraction=0.55,spread_cross_fraction,low,0.45,10.0,0.55,0.65,0.05,1.75,0.02,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:17:01.364049Z,17109.53518621319,4.13662355080603,423.0,1164.977516412735,17987.02403452249,19152.001550935223,-877.4888483092961,27109.535186213187,12531.942517682659,2.9721746807457947,413.0,4577.592668530531,1.1644488700602356,10.0
QQQ,spread_cross_fraction=0.95,spread_cross_fraction,high,0.45,10.0,0.95,0.65,0.05,1.75,0.02,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:17:03.137227Z,7619.943302886486,2.1399673174547846,407.0,1121.3814855575563,7320.70598514049,8442.087470698045,299.2373177459963,17619.943302886488,12531.942517682659,2.9721746807457947,413.0,-4911.999214796173,-0.8322073632910101,-6.0
QQQ,option_commission_per_contract=0.35,option_commission_per_contract,low,0.45,10.0,0.75,0.35,0.05,1.75,0.02,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:17:04.957803Z,12254.291598797212,2.941851795709455,416.0,654.9049792289734,10785.246288817936,11440.15126804691,1469.0453099792758,22254.291598797216,12531.942517682659,2.9721746807457947,413.0,-277.650918885447,-0.03032288503633973,3.0
