symbol,scenario,param,level,fill_gate,slippage_bps,spread_cross_fraction,option_commission_per_contract,option_fee_per_contract,min_edge_to_cost_ratio,volume_participation_rate,signal_abs_gate,strategy_mode,long_score_scale,allow_long_puts,vertical_skip_if_no_wing,hedge_underlying_delta,max_trades_per_day,backtest_version,generated_at_utc,summary_signal_abs_gate,total_pnl,daily_sharpe,trades,total_fees,total_options_pnl,total_options_pnl_gross,total_hedge_pnl,final_equity,baseline_total_pnl,baseline_daily_sharpe,baseline_trades,delta_total_pnl,delta_daily_sharpe,delta_trades
MSFT,fill_gate=0.3,fill_gate,low,0.3,10.0,0.75,0.65,0.05,1.75,0.02,0.04,vertical,1.0,True,True,True,5,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:20:48.525246Z,0.04,-3415.7515008563882,-0.6426392981580817,847.0,2331.287919306755,-7118.09573844494,-4786.8078191381865,3702.344237588554,6584.248499143614,-3415.7515008563882,-0.6426392981580817,847.0,0.0,0.0,0.0
MSFT,fill_gate=0.6,fill_gate,high,0.6,10.0,0.75,0.65,0.05,1.75,0.02,0.04,vertical,1.0,True,True,True,5,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:20:50.969892Z,0.04,-3415.7515008563882,-0.6426392981580817,847.0,2331.287919306755,-7118.09573844494,-4786.8078191381865,3702.344237588554,6584.248499143614,-3415.7515008563882,-0.6426392981580817,847.0,0.0,0.0,0.0
MSFT,slippage_bps=5.0,slippage_bps,low,0.45,5.0,0.75,0.65,0.05,1.75,0.02,0.04,vertical,1.0,True,True,True,5,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:20:53.336777Z,0.04,-1656.0470276961673,-0.22572130176147706,850.0,2339.5403867244722,-5287.861682493583,-2948.321295769114,3631.8146547974184,8343.952972303834,-3415.7515008563882,-0.6426392981580817,847.0,1759.704473160221,0.41691799639660465,3.0
MSFT,slippage_bps=15.0,slippage_bps,high,0.45,15.0,0.75,0.65,0.05,1.75,0.02,0.04,vertical,1.0,True,True,True,5,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:20:55.670800Z,0.04,-5027.449186574108,-0.8448086065392014,845.0,2325.808566260338,-8957.740815816105,-6631.932249555766,3930.291629241995,4972.550813425894,-3415.7515008563882,-0.6426392981580817,847.0,-1611.69768571772,-0.20216930838111968,-2.0
MSFT,spread_cross_fraction=0.55,spread_cross_fraction,low,0.45,10.0,0.55,0.65,0.05,1.75,0.02,0.04,vertical,1.0,True,True,True,5,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:20:57.705847Z,0.04,3540.262919662445,1.1005175607390507,858.0,2361.5739192247393,840.6671795104176,3202.2410987351564,2699.595740152028,13540.262919662446,-3415.7515008563882,-0.6426392981580817,847.0,6956.0144205188335,1.7431568588971325,11.0
MSFT,spread_cross_fraction=0.95,spread_cross_fraction,high,0.45,10.0,0.95,0.65,0.05,1.75,0.02,0.04,vertical,1.0,True,True,True,5,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:21:00.338877Z,0.04,-9652.932553178798,0.2943504383798262,844.0,2323.090746212006,-13492.215156981334,-11169.12441076933,3839.2826038025346,347.06744682120006,-3415.7515008563882,-0.6426392981580817,847.0,-6237.18105232241,0.936989736537908,-3.0
MSFT,option_commission_per_contract=0.35,option_commission_per_contract,low,0.45,10.0,0.75,0.35,0.05,1.75,0.02,0.04,vertical,1.0,True,True,True,5,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:21:02.420395Z,0.04,-2210.2476796601977,-0.3713129572507367,846.0,1330.5931125640868,-5868.791576684788,-4538.198464120701,3658.543897024589,7789.752320339802,-3415.7515008563882,-0.6426392981580817,847.0,1205.5038211961905,0.27132634090734503,-1.0
MSFT,option_commission_per_contract=0.95,option_commission_per_contract,high,0.45,10.0,0.75,0.95,0.05,1.75,0.02,0.04,vertical,1.0,True,True,True,5,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:21:04.863755Z,0.04,-4511.581032691855,-0.8592138074511183,847.0,3330.4110062122345,-8253.93750741725,-4923.526501205015,3742.356474725395,5488.418967308145,-3415.7515008563882,-0.6426392981580817,847.0,-1095.8295318354672,-0.21657450929303657,0.0
MSFT,option_fee_per_contract=0.01,option_fee_per_contract,low,0.45,10.0,0.75,0.65,0.01,1.75,0.02,0.04,vertical,1.0,True,True,True,5,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:21:06.979660Z,0.04,-3282.5350483245734,-0.6134549251715918,847.0,2198.0714667749407,-6984.879285913126,-4786.8078191381865,3702.344237588554,6717.464951675429,-3415.7515008563882,-0.6426392981580817,847.0,133.21645253181487,0.029184372986489904,0.0
MSFT,option_fee_per_contract=0.1,option_fee_per_contract,high,0.45,10.0,0.75,0.65,0.1,1.75,0.02,0.04,vertical,1.0,True,True,True,5,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:21:09.228087Z,0.04,-3582.2720665211564,-0.6784708510317627,847.0,2497.8084849715233,-7284.61630410971,-4786.8078191381865,3702.344237588554,6417.727933478846,-3415.7515008563882,-0.6426392981580817,847.0,-166.52056566476813,-0.035831552873681005,0.0
