symbol,scenario,param,level,fill_gate,slippage_bps,spread_cross_fraction,option_commission_per_contract,option_fee_per_contract,min_edge_to_cost_ratio,volume_participation_rate,device,signal_abs_gate,strategy_mode,long_score_scale,allow_long_puts,vertical_skip_if_no_wing,hedge_underlying_delta,max_trades_per_day,total_pnl,daily_sharpe,trades,baseline_total_pnl,baseline_daily_sharpe,baseline_trades,delta_total_pnl,delta_daily_sharpe,delta_trades
QQQ,fill_gate=0.3,fill_gate,low,0.3,10.0,0.75,0.65,0.05,1.75,0.02,cpu,0.04,vertical,1.0,True,True,True,5,11823.112437546948,3.3616833890547912,400.0,11434.084679160063,3.2678218594631048,397.0,389.02775838688467,0.09386152959168648,3.0
QQQ,fill_gate=0.6,fill_gate,high,0.6,10.0,0.75,0.65,0.05,1.75,0.02,cpu,0.04,vertical,1.0,True,True,True,5,11434.084679160063,3.2678218594631048,397.0,11434.084679160063,3.2678218594631048,397.0,0.0,0.0,0.0
QQQ,slippage_bps=5.0,slippage_bps,low,0.45,5.0,0.75,0.65,0.05,1.75,0.02,cpu,0.04,vertical,1.0,True,True,True,5,10996.60961507375,3.1917636257326354,394.0,11434.084679160063,3.2678218594631048,397.0,-437.47506408631307,-0.07605823373046938,-3.0
QQQ,slippage_bps=15.0,slippage_bps,high,0.45,15.0,0.75,0.65,0.05,1.75,0.02,cpu,0.04,vertical,1.0,True,True,True,5,11136.923689703131,3.0987156181026045,402.0,11434.084679160063,3.2678218594631048,397.0,-297.16098945693193,-0.16910624136050023,5.0
QQQ,spread_cross_fraction=0.55,spread_cross_fraction,low,0.45,10.0,0.55,0.65,0.05,1.75,0.02,cpu,0.04,vertical,1.0,True,True,True,5,16479.32534292875,4.318435529012754,424.0,11434.084679160063,3.2678218594631048,397.0,5045.240663768687,1.0506136695496489,27.0
QQQ,spread_cross_fraction=0.95,spread_cross_fraction,high,0.45,10.0,0.95,0.65,0.05,1.75,0.02,cpu,0.04,vertical,1.0,True,True,True,5,10183.190012303556,2.918178540768908,396.0,11434.084679160063,3.2678218594631048,397.0,-1250.8946668565077,-0.34964331869419674,-1.0
QQQ,option_commission_per_contract=0.35,option_commission_per_contract,low,0.45,10.0,0.75,0.35,0.05,1.75,0.02,cpu,0.04,vertical,1.0,True,True,True,5,11902.814473614639,3.393483753155176,397.0,11434.084679160063,3.2678218594631048,397.0,468.7297944545753,0.12566189369207104,0.0
QQQ,option_commission_per_contract=0.95,option_commission_per_contract,high,0.45,10.0,0.75,0.95,0.05,1.75,0.02,cpu,0.04,vertical,1.0,True,True,True,5,11046.706228307128,3.162474071844179,397.0,11434.084679160063,3.2678218594631048,397.0,-387.3784508529352,-0.10534778761892571,0.0
QQQ,option_fee_per_contract=0.01,option_fee_per_contract,low,0.45,10.0,0.75,0.65,0.01,1.75,0.02,cpu,0.04,vertical,1.0,True,True,True,5,11496.581985087341,3.284607398045507,397.0,11434.084679160063,3.2678218594631048,397.0,62.49730592727792,0.016785538582402282,0.0
QQQ,option_fee_per_contract=0.1,option_fee_per_contract,high,0.45,10.0,0.75,0.65,0.1,1.75,0.02,cpu,0.04,vertical,1.0,True,True,True,5,11355.96304675097,3.2468271402743034,397.0,11434.084679160063,3.2678218594631048,397.0,-78.12163240909285,-0.02099471918880136,0.0
